brand,title,content
아이트로닉스,"체험단 모집 - (주)에코엠엔씨사의 간편한 시공! 강한 유리막 유지! 친환경 유리막코팅제 Si-14","※ 체험단 신청 전 꼭 블동체험단 신청 및 활동안내 를 읽어 보시기 바랍니다.
 ☞읽어보러 가기 클릭 ☜


◈ 체험단의 모집일정
☞ 제조사/제품명 : (주)에코엠엔씨/Si-14 유리막코팅제
☞ 모 집 장 소 : 네이버 블랙박스동호회 (http://cafe.naver.com/blackboxclub)
☞ 모 집 대 상 : 네이버 블랙박스동호회 회원 중 차량용블랙박스에 대한 기본적 지식이
있거나 차량에 관한 전문적 견해를 갖춘 회원.
동호회에서 활동이 활발한 회원. 차량, 디지털카메라 또는 캠코더 소지자.
☞ 모집인원: 20명
☞ 모집기간 : 2017년 9월 25일 ~ 2017년 10월 10일까지
☞ 선정발표 및 제품발송 : 2017년 10월 10일~2017년 10월 13일
☞ 체험단 활동 기간 : 2017년 10월 13일 ~ 2017년 10월 27일까지
☞ 우수체험단 발표 : 2017년 10월 31일(예정)
※ 일정은 상황에 따라서 변경될 수 있습니다.


에코엠엔씨 Si-14 체험 신청서작성 클릭




◈ 체험단의 임무(영상 및 사진이 첨부된 후기를 남겨주셔야 합니다.)
☞ 수령기(구성품 소개 및 디자인리뷰)
☞ 제품사용 전/후 차량 외관리뷰
☞ 실 주행테스트(운행 후 외관 상태 변화)
☞ 제품과 관련된 에피소드
☞ 제품 총평
 

◈ 체험단 활동 장소 및 자격 조건
☞ 디카 또는 디지털캠코더를 소지해야 하며, 블로그 운영 및 최소 4개이상 커뮤니티에 활발한 활동을 해야 합니다.
☞ 네이버 블랙박스동호회 까페내 에코엠엔씨/Si-14유리막코팅제 체험단후기 카테고리 필수(후기 심사장소)
☞ 네이버, 다음 등 개인 블로그(필수)
☞ 최소 3곳 이상의 각 차량용 블랙박스 / 자동차 관련 타 싸이트 및 동호회에 5회 이상 리뷰 작성
☞ 블랙박스동호회에서 제공하는 로고는 올리시는 사진 및 동영상모두에 워터마크로 필수 삽입되어야 합니다. (저작권 문제 때문에 꼭 부탁드립니다!)

에코엠엔씨 Si-14 체험 신청서작성 클릭

 
◈ 우수체험단 심사 방법
 ☞ 체험후기 내용 : 50%
==> 적절한 내용 사진, 동영상, 리뷰 평 등을 중심으로 평가됩니다.
☞ 후기활동개수 : 50%
==> 활동 후 꼭 남겨주신 싸이트 및 까페 URL 등을 쪽지 및 메일로 남겨 주셔야 합니다.



◈ 체험단 시상
☞ 우수체험 회원 20명 제품 100% 무상제공
    단, 후기가 없는 회원님은 제품을 반납 또는 제품가를 지불하셔야 합니다. 


◈ 체험단 당부 말씀
☞ 체험기간내 체험단 임무에 맞는 후기를 작성하셔야 하며, 후기에는 최소 9개 이상의 사진 및 동영상이 첨부되어야 합니다.
☞ 후기에 블랙박스동호회에서 제공한 워터마크를 반드시 삽입하셔야 합니다.
☞ 등록된 체험후기는 작성자 외에 체험주관사인 (주)에코엠엔씨와 블랙박스동호회가 소유권을 공유하며, 향후 (주)에코엠엔씨 및 블랙박스동호회에서는 관련된 컨텐츠로 활용할 수 있습니다.
☞ 체험후기는 기간동안 틈틈히 올려주셔야 하며, 마감날 한꺼번에 올리는 행위는 금기시 합니다.
(개봉기부터 총평까지 중간중간 올려주시는 후기가 많은 회원님께 훌륭한 정보가 됩니다.)
☞ 체험후기를 모두 작성하였으나 지정한 필수 체험활동 장소에 후기를 올리지 않을 경우 우수체험단 선정 시 불이익을 받을 수 있습니다.
☞ 체험단으로 선정되시고 개인사정에 의해 주어진 미션수행과 체험활동을 완료하지 못할 경우 제품반납을 하셔야 합니다.
☞ 제품을 타사 제품과 비교 하실 경우에는 꼭 같은 성능과 스펙을 가진 제품과 비교분석 하셔야 합니다.
☞ 성의 없는 체험후기의 경우 제품 반납이 불가피 합니다.
☞ 심사에서 탈락하신 분들은 (주)에코엠엔씨와 블랙박스동호회의 요청에 의해 제품을 반납하셔야만 합니다.

※ 본 체험단 진행은 체험 담당 스탭이신 스탭ㅣ오키도키 님께서 담당하여 진행해 주십니다. 감사합니다.


에코엠엔씨 Si-14 체험 신청서작성 클릭

에코엠엔씨 Si-14 체험 신청서작성 클릭"
아이트로닉스,"(연장)추석맞이 공동구매 - (주)큐알온텍社의 QHD+FHD 2채널 ADAS, 나이트비전 블랙박스 큐비아 Eagle-Q","★ (주)큐알온텍社의 QHD+FHD 2채널 ADAS, 나이트비전 블랙박스
큐비아 Eagle-Q공동구매 ★


※ 추석연휴 택배사의 사정으로 9월 28일(목) 오후 2시 이후 주문(입금)건은 10월 10일(화) 이후 발송 됩니다.

☞ Eagle-Q 가격정보 ☜

* 오비디 지원 차종안내 및 지원사항은 상세페이지 참고하여 주시기 바랍니다.
* 오비디 주문시 차종 및 연식를 표시하지 않으면, 제품을 출고할 수가 없습니다.
* 오비디 구매시 상시전원케이블은 발송하지 않습니다.
  (상시전원케이블 필요시 추가금액이 발생합니다.)
* 후방연결케이블 5m에서 7m 변경시에 추가금액 발생합니다.
* 후방연결케이블 5m에서 11m 변경시에 추가금액 발생합니다.
* 자외선 차단유리 및 금속성분의 전면 썬팅된 차량은 지피에스 수신되지 않습니다.
---> 전면 썬팅된 차량은 지피에스 수신 안테나(거치대) 부분만 필림제거를 권장하여드립니다.
* 출장장착비용은 국산 승용차 기준입니다.(탈거, RV차량, 외제차량 등은 추가비용 발생합니다.)
※ 금번 공동구매는 현금가로 진행이 되며, 현금영수증은 공동구매 마감 후 일괄적으로 발급 됩니다.
(번호 변경을 원하실 경우 비고란에 남겨주시기 바랍니다.)


본 공동구매 진행 시 상품 주문, 배송 및 환불의 권한은 판매업체에 있음을 알려드립니다. 
아래의 판매업체 정보를 확인해주세요.


(공동구매 업체 정보)
 업체명 : (주)큐알온텍
대표자 : 김종옥
사업자등록번호 : 119-81-91556
통신판매신고번호 : 2009-서울강서-0797
주소 : 서울시 강서구 염창동 240-21 우림블루나인 A동 1201호
전화번호 : 02-2093-1261
이메일 : lukas@qrontech.com(대)

업체담당자 : 진수
담당자 연락처 : 02-2093-1263, 1252
담당자 이메일 :  lukas@qrontech.com(대)





 ☞ 공동구매 제품과 관련하여 A/S, 교환, 반품, 기간이 경과된 환불건, 제품배송 등은 동호회에서 책임을 지지 않으며 개입하지도 않습니다. 위의 업체 정보를 메모하셨다가 꼭 업체로 문의하시고 해결하여 주시기 바랍니다.
  (공동구매 진행절차)
  ☞ 공동구매 기간 : 2017년 9월 20일 -  10월 10일(오후 2시까지)
 ☞ 배송방법 : 로젠택배 발송(택배비 무료)
                 제품은 입금확인후 약 2-3일후 택배통해 수령 (주말제외)
 ☞ 판매, 배송, 기술 및 a/s문의 : 02-2093-1263
 

※ 반품처 : 서울시 강서구 염창동 240-21 우림블루나인 A동 1201호

(제품 정보)
 ☞ 제조사/제품명 : (주)큐알온텍 / 큐비아 Eagle-Q

☞ Eagle-Q 체험단후기보기 ☜

  *********(필독)*********
1. 정상적인 사용에서 발생된 성능/ 기능상의 문제 발생시 제품 수령후 7일 내 100%
   교환 및 환불이 가능합니다.
2. 제품 수령 후 7일 이후에 발생되는 제품이상은 해당 제품제조사에서 제공하는
    A/S서비스를 이용하시길 바랍니다.
3. 단순변심반품은 가능하오나  박스개봉, 제품사용 및 전원을 넣어 사용하신 경우
   반품은 절대 불가합니다.
4. 제품 박스만 개봉하셔도 상품가치가 떨어져 정상제품으로 판매할 수 없게 됩니다.
   양해 부탁드립니다.
5. 반품 및 교환은 반드시 판매자와 연락후 처리를 부탁드립니다.
6. 제품배송은 입금순으로 진행이 되며, 신청만 하시고 미결제시 구매의사없음으로
   간주됩니다.
7. 환불은 판매업체에 반품하여 주시고 업체로부터 반품승인이 된 후 이루어집니다.
8. 현금영수증은 소득공제용 + 지출증빙용으로 발행되며, 특별한 기재가 없을시
   핸드폰번호로 발행이 되며, 추후 국세청을 통해 확인 가능합니다.
9. 입금자 명단 및 송장번호는 ★블동공동구매★의 공동구매입금배송을 통해
   확인 가능합니다.
  ※※※※ 구매전 꼭 확인 하시기 바랍니다.(제발 부탁드립니다.) ※※※※
☞ 가격적인 부분에 만족하는가?
☞ 정말 자신이 희망하던 제품인가?
☞ 제품의 스펙에 대해서는 자세히 공부 하였는가?(카페내 체험단후기 확인)
☞ 자신이 사용하려던 용도에 적합한가?
☞ 제품을 개봉하였을 경우 환불은 이뤄지지 않습니다.
☞ 제품수령후 제품관련문의는 반드시 업체로 하여 주시기 바랍니다.(제품A/S포함) 
☞ 단순변심으로 인한 환불시에는 왕복택배비를 회원님께서 부담하셔야 합니다.
☞ 제주도 및 도서산간지역의 택배비용은 일부 추가금은 회원님 부담이십니다.
☞ 제품에 대한 문의만 덧글을 허용합니다. 가격적인 부분에 대해서는 모두 삭제처리 되니 이점 양해 부탁드립니다.

☞ Eagle-Q 가격정보 ☜

※ 공동구매 참여는 블동회원 등급회원님 이상만 참여가 가능하십니다. 
    블동입문 회원님들께서는 블동회원 등급으로 등업신청 후 참여를 부탁드립니다. 

※ 추석연휴 택배사의 사정으로 9월 28일(목) 오후 2시 이후 주문(입금)건은 10월 10일(화) 이후 발송 됩니다.
☞ Eagle-Q 가격정보 ☜

※ 공동구매 참여는 블동회원 등급회원님 이상만 참여가 가능하십니다. 
    블동입문 회원님들께서는 블동회원 등급으로 등업신청 후 참여를 부탁드립니다. "
아이트로닉스,"각종체험후기 포스팅 횟수 제한 실시 합니다.","안녕하세요?
각종 체험 후기에 좋은 자료 많이 올려주시는 회원분들께 감사 말씀드립니다.
 앞으로 각종 체험 후기에 1인당 올릴 수 있는 포스팅 횟수를 하루 1회로 제한 합니다.
하루에도 서너 개씩 한꺼번에 올리는 분들로 인해 블박동 자체 콘텐츠가 뒤로 밀리는 일이 발생하고 있습니다.
시간차라도 두고 올려 주셔야지요.
도배하듯이 올려 주시는 분들 이 비일비재하기에 새로운 규칙을 추가하게 되었습니다.

하루 한 개 초과 작성 시 게시글은 통보 없이 삭제될 수 있습니다.

2 회 이상 규칙을 어길 시 무기한 활동 정지됨을 알려 드립니다.

감사합니다.

아울러 타동워터마크 직접 십입은 금지사항 입니다.
위반시 이동조치 됨을 알려드립니다."
아이트로닉스,"모자이크 동영상 간단하게 만드는 방법","iClooPlayer를 사용하시면 아주 간단합니다.
이제 사용하기 어렵고 값비싼 어도비 프리미어나 소니 베가스를 사용할 필요가 없습니다.
www.icloo.net 에서 무료로 다운 받아서 사용할 수 있습니다. Naver에서 다운받아서 update하셔도 됩니다.

1. 동영상 재생 중에 경찰관 모양의 보안 아이콘을 클릭합니다.

2. 빨간색 녹화시작 버튼을 눌러 새로운 동영상으로 녹화를 시작합니다.
3. 왼쪽 콤보 막스에서 모자이크를 선택하고 마우스를 드래그 하여 모자이크를 적용할 영역을 선택합니다.
4. 목표물이 움직일 경우 모자이크 영역 박스를 함께 움직여 줍니다.
   움직임이 빠를 경우 재생 배속을 조절하거나 프레임 재생을 하며 따라가면 편리합니다. 
끝!

실제 동작은 다음 Youtube링크 참조 하세요.
[모자이크/흐리게/한하게/글씨쓰기/그림그리기 하는 법]

[이렇게 편집해서 적용된 동영상 예시]"
아이트로닉스,"블동 회원 등업은 이렇게 하시면 됩니다.^^","안녕하세요.
블동지기입니다.
 블동에 가입하시게 되면 블동입문단계가 되는데요.. 블동입문단계로는 자유롭게 글을 읽고 쓰기가 안됩니다.
지금까지 등업신청방식 힘드시다고 하시는 분들이 많이 계셔서,
블동입문에서 블동회원으로 등업되는 방법을 등업신청이 아닌 자동등업으로 바꾸게 되었습니다.
  (블동입문에서 블동회원으로 자동등업하는 방법)
 블동 등업조건을 1회 게시글 작성, 2회 덧글작성으로 정합니다.
수많은 분들께서 오고가는 장인데 불미스런 사건들이 많이 발생하여 조금이나마 피해를 막고자 조치를 취했으니 다소 번거로우시더라도 아래의 조건을 충족시켜 주시면 감사하겠습니다.
 1. 게시글 하나 작성 - 가입인사 게시판에서 글쓰기 누르시고 양식대로 작성하시면 됩니다.
 2. 덧글 2회 작성 - 가입인사 게시판에서 다른 회원님 가입인사 게시글에 환영 덧글을 2개 이상 남기시면 됩니다.
 위의 항목을 차례대로 진행하시면 자동으로 블동회원등급으로 등업이 됩니다.^^
 *등업해달라고 쪽지나 댓글 남기지 마시구요..
 위의 방법대로 하면 바로 등업이 됩니다.^^
  반드시 업체회원분들은 블동회원등업후 닉네임을 업체명으
 로 바꾸시고, 아래 게시판에서 업체회원으로 등업신청해주
 셔야 합니다. 아래의 글을 클릭하시고 글쓰기 누르셔서 양식을 갖춰주시면 확인 후 등업해 드립니다.
   업체 회원 등업신청하러 가기 클릭"
아이트로닉스,[2채널LCD유],"ihd-7000 2.1.4 업데이트 후 이상증상이 있습니다.

1. 주차시 후방카메라 녹화를 꺼짐으로 설정하고 사용중인데, 주차모드로 진입해도 후방카메라 불이 꺼지지 않습니다.

그런데 후방카메라 녹화는 되지 않습니다.

제가 보조배터리에 연결해서 후방카메라 불빛이 꺼져있을때 188mA 정도 였는데 업데이트 후 230mA정도로 사용됩니다.

2. 주차시 차단을 시간 설정해서 사용중입니다. 

24시간뒤 꺼짐하면 꺼진 후 보조배터리의 전력이 남아았어서 그런지 다시 재부팅되어 다시 주차모드로 녹화가 됩니다.

항상 보조배터리가 남은 용량이 1%라 되어 이상해서 테스트 해보았습니다.

홈피에 문의해도 답도 없고, 물건은 좋은데 as 별로네요.

홈피에 다운그레이드 할 펌웨어도 없고, 카페에는 2.1.1 만있는데 앞차출발 알림 기능있는데 펌웨어 가지고 계신분 계신가요? "
아이트로닉스,"itb-7000 주행시 꺼짐현상?","현재 itb-7000 사용중이구요
보조배터리 에코파워팩10c 상시로 연결한상태입니다
주행 중 가끔씩 일주일에 한번,두번정도 꺼졌다가 20~30초 정도 있다가 다시켜지는 현상이 있어서 as 접수 아무이상이 없다고 하네요
2~3일 전부터는 시동을 키면 5분정도 있다가 다시 꺼졌다가 켜지는 현상이 일어납니다.
시동 한번킬때마다 몇분 주행 중에 재부팅......
보조배터리 문제일까요?
해결방법 없을까요?
그냥 그러려니 하고 타야할까요...."
아이트로닉스,"rp_cam.idb 파일","7000
 setup 폴더에 rp_cam.idb   파일이 있던데
 이건 무슨 파일인가요???"
아이트로닉스,"아이트로닉스 아이패스 ITB-650 가격좀 봐주세요~","기본형 장착비 포함 18만원에 설치할려고 하는데 괜찮은 가격일가요? "
아이트로닉스,"아이패스블랙X1 우천주행동영상입니다","전방입니다.
   후방입니다.
 


유튜브 업로드 영상입니다"
