brand,title,content
아이트로닉스,"체험단 모집 - (주)에코엠엔씨사의 간편한 시공! 강한 유리막 유지! 친환경 유리막코팅제 Si-14","※ 체험단 신청 전 꼭 블동체험단 신청 및 활동안내 를 읽어 보시기 바랍니다.
 ☞읽어보러 가기 클릭 ☜


◈ 체험단의 모집일정
☞ 제조사/제품명 : (주)에코엠엔씨/Si-14 유리막코팅제
☞ 모 집 장 소 : 네이버 블랙박스동호회 (http://cafe.naver.com/blackboxclub)
☞ 모 집 대 상 : 네이버 블랙박스동호회 회원 중 차량용블랙박스에 대한 기본적 지식이
있거나 차량에 관한 전문적 견해를 갖춘 회원.
동호회에서 활동이 활발한 회원. 차량, 디지털카메라 또는 캠코더 소지자.
☞ 모집인원: 20명
☞ 모집기간 : 2017년 9월 25일 ~ 2017년 10월 10일까지
☞ 선정발표 및 제품발송 : 2017년 10월 10일~2017년 10월 13일
☞ 체험단 활동 기간 : 2017년 10월 13일 ~ 2017년 10월 27일까지
☞ 우수체험단 발표 : 2017년 10월 31일(예정)
※ 일정은 상황에 따라서 변경될 수 있습니다.


에코엠엔씨 Si-14 체험 신청서작성 클릭




◈ 체험단의 임무(영상 및 사진이 첨부된 후기를 남겨주셔야 합니다.)
☞ 수령기(구성품 소개 및 디자인리뷰)
☞ 제품사용 전/후 차량 외관리뷰
☞ 실 주행테스트(운행 후 외관 상태 변화)
☞ 제품과 관련된 에피소드
☞ 제품 총평
 

◈ 체험단 활동 장소 및 자격 조건
☞ 디카 또는 디지털캠코더를 소지해야 하며, 블로그 운영 및 최소 4개이상 커뮤니티에 활발한 활동을 해야 합니다.
☞ 네이버 블랙박스동호회 까페내 에코엠엔씨/Si-14유리막코팅제 체험단후기 카테고리 필수(후기 심사장소)
☞ 네이버, 다음 등 개인 블로그(필수)
☞ 최소 3곳 이상의 각 차량용 블랙박스 / 자동차 관련 타 싸이트 및 동호회에 5회 이상 리뷰 작성
☞ 블랙박스동호회에서 제공하는 로고는 올리시는 사진 및 동영상모두에 워터마크로 필수 삽입되어야 합니다. (저작권 문제 때문에 꼭 부탁드립니다!)

에코엠엔씨 Si-14 체험 신청서작성 클릭

 
◈ 우수체험단 심사 방법
 ☞ 체험후기 내용 : 50%
==> 적절한 내용 사진, 동영상, 리뷰 평 등을 중심으로 평가됩니다.
☞ 후기활동개수 : 50%
==> 활동 후 꼭 남겨주신 싸이트 및 까페 URL 등을 쪽지 및 메일로 남겨 주셔야 합니다.



◈ 체험단 시상
☞ 우수체험 회원 20명 제품 100% 무상제공
    단, 후기가 없는 회원님은 제품을 반납 또는 제품가를 지불하셔야 합니다. 


◈ 체험단 당부 말씀
☞ 체험기간내 체험단 임무에 맞는 후기를 작성하셔야 하며, 후기에는 최소 9개 이상의 사진 및 동영상이 첨부되어야 합니다.
☞ 후기에 블랙박스동호회에서 제공한 워터마크를 반드시 삽입하셔야 합니다.
☞ 등록된 체험후기는 작성자 외에 체험주관사인 (주)에코엠엔씨와 블랙박스동호회가 소유권을 공유하며, 향후 (주)에코엠엔씨 및 블랙박스동호회에서는 관련된 컨텐츠로 활용할 수 있습니다.
☞ 체험후기는 기간동안 틈틈히 올려주셔야 하며, 마감날 한꺼번에 올리는 행위는 금기시 합니다.
(개봉기부터 총평까지 중간중간 올려주시는 후기가 많은 회원님께 훌륭한 정보가 됩니다.)
☞ 체험후기를 모두 작성하였으나 지정한 필수 체험활동 장소에 후기를 올리지 않을 경우 우수체험단 선정 시 불이익을 받을 수 있습니다.
☞ 체험단으로 선정되시고 개인사정에 의해 주어진 미션수행과 체험활동을 완료하지 못할 경우 제품반납을 하셔야 합니다.
☞ 제품을 타사 제품과 비교 하실 경우에는 꼭 같은 성능과 스펙을 가진 제품과 비교분석 하셔야 합니다.
☞ 성의 없는 체험후기의 경우 제품 반납이 불가피 합니다.
☞ 심사에서 탈락하신 분들은 (주)에코엠엔씨와 블랙박스동호회의 요청에 의해 제품을 반납하셔야만 합니다.

※ 본 체험단 진행은 체험 담당 스탭이신 스탭ㅣ오키도키 님께서 담당하여 진행해 주십니다. 감사합니다.


에코엠엔씨 Si-14 체험 신청서작성 클릭

에코엠엔씨 Si-14 체험 신청서작성 클릭"
아이트로닉스,"(연장)추석맞이 공동구매 - (주)큐알온텍社의 QHD+FHD 2채널 ADAS, 나이트비전 블랙박스 큐비아 Eagle-Q","★ (주)큐알온텍社의 QHD+FHD 2채널 ADAS, 나이트비전 블랙박스
큐비아 Eagle-Q공동구매 ★


※ 추석연휴 택배사의 사정으로 9월 28일(목) 오후 2시 이후 주문(입금)건은 10월 10일(화) 이후 발송 됩니다.

☞ Eagle-Q 가격정보 ☜

* 오비디 지원 차종안내 및 지원사항은 상세페이지 참고하여 주시기 바랍니다.
* 오비디 주문시 차종 및 연식를 표시하지 않으면, 제품을 출고할 수가 없습니다.
* 오비디 구매시 상시전원케이블은 발송하지 않습니다.
  (상시전원케이블 필요시 추가금액이 발생합니다.)
* 후방연결케이블 5m에서 7m 변경시에 추가금액 발생합니다.
* 후방연결케이블 5m에서 11m 변경시에 추가금액 발생합니다.
* 자외선 차단유리 및 금속성분의 전면 썬팅된 차량은 지피에스 수신되지 않습니다.
---> 전면 썬팅된 차량은 지피에스 수신 안테나(거치대) 부분만 필림제거를 권장하여드립니다.
* 출장장착비용은 국산 승용차 기준입니다.(탈거, RV차량, 외제차량 등은 추가비용 발생합니다.)
※ 금번 공동구매는 현금가로 진행이 되며, 현금영수증은 공동구매 마감 후 일괄적으로 발급 됩니다.
(번호 변경을 원하실 경우 비고란에 남겨주시기 바랍니다.)


본 공동구매 진행 시 상품 주문, 배송 및 환불의 권한은 판매업체에 있음을 알려드립니다. 
아래의 판매업체 정보를 확인해주세요.


(공동구매 업체 정보)
 업체명 : (주)큐알온텍
대표자 : 김종옥
사업자등록번호 : 119-81-91556
통신판매신고번호 : 2009-서울강서-0797
주소 : 서울시 강서구 염창동 240-21 우림블루나인 A동 1201호
전화번호 : 02-2093-1261
이메일 : lukas@qrontech.com(대)

업체담당자 : 진수
담당자 연락처 : 02-2093-1263, 1252
담당자 이메일 :  lukas@qrontech.com(대)





 ☞ 공동구매 제품과 관련하여 A/S, 교환, 반품, 기간이 경과된 환불건, 제품배송 등은 동호회에서 책임을 지지 않으며 개입하지도 않습니다. 위의 업체 정보를 메모하셨다가 꼭 업체로 문의하시고 해결하여 주시기 바랍니다.
  (공동구매 진행절차)
  ☞ 공동구매 기간 : 2017년 9월 20일 -  10월 10일(오후 2시까지)
 ☞ 배송방법 : 로젠택배 발송(택배비 무료)
                 제품은 입금확인후 약 2-3일후 택배통해 수령 (주말제외)
 ☞ 판매, 배송, 기술 및 a/s문의 : 02-2093-1263
 

※ 반품처 : 서울시 강서구 염창동 240-21 우림블루나인 A동 1201호

(제품 정보)
 ☞ 제조사/제품명 : (주)큐알온텍 / 큐비아 Eagle-Q

☞ Eagle-Q 체험단후기보기 ☜

  *********(필독)*********
1. 정상적인 사용에서 발생된 성능/ 기능상의 문제 발생시 제품 수령후 7일 내 100%
   교환 및 환불이 가능합니다.
2. 제품 수령 후 7일 이후에 발생되는 제품이상은 해당 제품제조사에서 제공하는
    A/S서비스를 이용하시길 바랍니다.
3. 단순변심반품은 가능하오나  박스개봉, 제품사용 및 전원을 넣어 사용하신 경우
   반품은 절대 불가합니다.
4. 제품 박스만 개봉하셔도 상품가치가 떨어져 정상제품으로 판매할 수 없게 됩니다.
   양해 부탁드립니다.
5. 반품 및 교환은 반드시 판매자와 연락후 처리를 부탁드립니다.
6. 제품배송은 입금순으로 진행이 되며, 신청만 하시고 미결제시 구매의사없음으로
   간주됩니다.
7. 환불은 판매업체에 반품하여 주시고 업체로부터 반품승인이 된 후 이루어집니다.
8. 현금영수증은 소득공제용 + 지출증빙용으로 발행되며, 특별한 기재가 없을시
   핸드폰번호로 발행이 되며, 추후 국세청을 통해 확인 가능합니다.
9. 입금자 명단 및 송장번호는 ★블동공동구매★의 공동구매입금배송을 통해
   확인 가능합니다.
  ※※※※ 구매전 꼭 확인 하시기 바랍니다.(제발 부탁드립니다.) ※※※※
☞ 가격적인 부분에 만족하는가?
☞ 정말 자신이 희망하던 제품인가?
☞ 제품의 스펙에 대해서는 자세히 공부 하였는가?(카페내 체험단후기 확인)
☞ 자신이 사용하려던 용도에 적합한가?
☞ 제품을 개봉하였을 경우 환불은 이뤄지지 않습니다.
☞ 제품수령후 제품관련문의는 반드시 업체로 하여 주시기 바랍니다.(제품A/S포함) 
☞ 단순변심으로 인한 환불시에는 왕복택배비를 회원님께서 부담하셔야 합니다.
☞ 제주도 및 도서산간지역의 택배비용은 일부 추가금은 회원님 부담이십니다.
☞ 제품에 대한 문의만 덧글을 허용합니다. 가격적인 부분에 대해서는 모두 삭제처리 되니 이점 양해 부탁드립니다.

☞ Eagle-Q 가격정보 ☜

※ 공동구매 참여는 블동회원 등급회원님 이상만 참여가 가능하십니다. 
    블동입문 회원님들께서는 블동회원 등급으로 등업신청 후 참여를 부탁드립니다. 

※ 추석연휴 택배사의 사정으로 9월 28일(목) 오후 2시 이후 주문(입금)건은 10월 10일(화) 이후 발송 됩니다.
☞ Eagle-Q 가격정보 ☜

※ 공동구매 참여는 블동회원 등급회원님 이상만 참여가 가능하십니다. 
    블동입문 회원님들께서는 블동회원 등급으로 등업신청 후 참여를 부탁드립니다. "
아이트로닉스,"X1 주행녹화가 안되네용","주차 30 이벤트 20 주행 50인가해서 쓰는중인데
금일 오전도 그렇고 주차녹화는 되어있는데 주행녹화가 안되어있네요
SD포맷은 블랙박스 내에있는 SD포맷 한번씩 눌러주는데 ..
왜그런걸까요"
아이트로닉스,"ITB-7000 주차 녹화시간 문의 드립니다.","안녕하세요.. 눈팅족 리얼블루입니다.

이번에 주차 녹화를 계속하겠단 생각으로 블랙박스 상시 전원을 달았습니다.
이제 전원이 계속 들어오니 테러를 당해도 잡을 수 있겠지 라고 생각을 했는데..

메모리가 얼마동안의 녹화시간을 담을수 있는지 갑자기 의문이 들더군요..
저는 기본 32G 16G를 사용중인데요. 주차녹화만 따졌을때 얼마동안 녹화가 될까요..?

필요하다면 메모리 업글도 해야 할것 같은데 64G 128G 모두 인식을 잘 하는지도 궁금합니다.

마지막으로 주차 녹화시 권장하시는 셋팅이 있으시다면 팁 부탁드립니다.

감사합니다."
아이트로닉스,"X1(6000FHD) 모델 64G/128G 메모리 문의드립니다.","안녕하세요.

아이패스블랙 X1 모델을 사용중입니다.

렉사 633X 64G 메모리를 포멧하여 블랙박스 사용해보니 재부팅이 되는 현상이 있어 원래 제공하는 메모리로 교체하니 정상적으로 동작합니다.

호환성 부분에서 문제가 되는 것 같아 새로 구입하려합니다.

실제 사용해보신 분은 어떤 메모리를 사용중이신지요?

호환성도 좋고 추천해주실 상품 알려주시면 감사하겠습니다!

즐거운 저녁시간 보내세요!!"
아이트로닉스,[2채널LCD유],"2000HD 2채널 사용하다 여름만 되면 LCD터치가
안되어 AS보내니 X1 6000제품을 보상판매한다
하여 화요일에 제품받고 오늘 아침에야 블랙박스
전문장착점에서 장착했는데 후방카메라가
연결 안되었다고 계속 울리네요설치기사 왈
이경우는 케이블이 문제있으니 제품을 교환하라고
하네요 아 뽑기실패한거 같아요
교환은 해주겠죠? 걱정이네요"
아이트로닉스,"아이트로닉스 7000fhd 주행녹화에서 주차녹화 전환???","아이트로닉스 7000fhd 입니다
7000으로 바꾸기 전에 아이트로닉스 100hdsp 사용했을때 만족도가 아주 좋아서
얼마전에 아이트로닉스 7000fhd 를 설치했습니다
너무 실망입니다 오류가 너무 많아요

전원연결은 보조배터리 설치 후 상시연결 했구요
이번 오류사항은 주행하다가 주차 후 시동을 끄면 주차모드로 돌아가야하는게 정상인데
가끔씩 주차 후 시동을 꺼도 주차모드로 돌아가지 않고 주행모드로 작동되네요
다시 시동을 걸었다가 시동을 끄면 정상적으로 주차모드로 작동됩니다.
as전화 해보니 기기는 이상이 없는것 같구 전원선 문제인것 같은데 연결을 제대로 했느냐 묻더군요
연결은 블랙박스 장착하는 곳에서 제대로 연결했다고 했는데도 연결상 문제가 있을것 같다고 하네요
혹시나 해서 블랙박스 장착한곳에 가서 연결상태 확인 아무이상없다고 합니다.

이거 어떻게 해결해야 하나요? "
아이트로닉스,"7000FHD 자동으로 블랙박스 꺼지는증상 있는분 계신가요?","7000FHD 자동으로 블랙박스 꺼지는증상 있는분 계신가요?
보조베터리로 주차녹화 쓸때만 그러는데요. 2.1.3패치부터 그런 증상이 나타나는데요.
보조베터리 문제일수도있어서 다른분들은 같은현상이 없으신가요?
 보조베터리 잔량은 만충인데 주차모드 돌려놓고 5분 안에 꺼집니다."
아이트로닉스,[2채널LCD유],"오랜만에 카페 들어왔더니
새로운 펌웨어가 생겼네요
업댓하려면 메모리카드 어떤거에다가 
설치해야 하나요?
itb-7000
메모리카드 위아래 두개있는데요..
 아 그리고 
블랙박스 보조빔? 보아빔?
설치하신분 어떠신가요?
제가 전면선팅이 되어있는데
효과좋을까요?"
아이트로닉스,"itb-2000hd rtc배터리 ?","안녕하세요.
작년에 시간 오류로 rtc배터리 유상 교체후 잘쓰다가 다시 시간 오류가 나서 이번기회에 rtc배터리를 자가 교체하려고 합니다.
rtc 배터리종류가 사진상으로 4가지던데 어떤걸 써야하냐요?




블랙박스를 뜯기전에 미리 주문하려고 합니다.
답변 미리 감사합니다.

두번째
시간 설정이 안됩니다.
지금 1970년도에 설정 되어있는데 오늘 날짜로 설정후 저장하면 오늘 날짜로 나왔다가 1초후
다시 1970년대로 돌아갑니다.
sd카드 포맷도 해고 이것저것 해봐도 안되네요.
블박을 바꿔야하는지.....
고수님들 답변 부탁 드릴께요.
좋은 하루 되세요."
